name,pages,title
A Comic Artist’s Survival Guide Chapter 0,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2022/04/00-381.jpg,https://asura.gg/wp-content/uploads/2022/04/01-615.jpg,https://asura.gg/wp-content/uploads/2022/04/02-628.jpg,https://asura.gg/wp-content/uploads/2022/04/03-622.jpg,https://asura.gg/wp-content/uploads/2022/01/ENDING-PAGE.jpg",A Comic Artist’s Survival Guide
A Comic Artist’s Survival Guide Chapter 3,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2022/06/00-129.jpg,https://asura.gg/wp-content/uploads/2022/06/01-83.jpg,https://asura.gg/wp-content/uploads/2022/06/02-77.jpg,https://asura.gg/wp-content/uploads/2022/06/03-78.jpg,https://asura.gg/wp-content/uploads/2022/06/04-76.jpg,https://asura.gg/wp-content/uploads/2022/06/05-89.jpg,https://asura.gg/wp-content/uploads/2022/06/06-77.jpg,https://asura.gg/wp-content/uploads/2022/06/07-73.jpg,https://asura.gg/wp-content/uploads/2022/06/08-67.jpg,https://asura.gg/wp-content/uploads/2022/06/09-56.jpg,https://asura.gg/wp-content/uploads/2022/06/10-45.jpg,https://asura.gg/wp-content/uploads/2022/06/11-31.jpg,https://asura.gg/wp-content/uploads/2022/01/ENDING-PAGE.jpg",A Comic Artist’s Survival Guide
A Comic Artist’s Survival Guide Chapter 4,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2022/06/00-168.jpg,https://asura.gg/wp-content/uploads/2022/06/01-113.jpg,https://asura.gg/wp-content/uploads/2022/06/02-108.jpg,https://asura.gg/wp-content/uploads/2022/06/03-109.jpg,https://asura.gg/wp-content/uploads/2022/06/04-107.jpg,https://asura.gg/wp-content/uploads/2022/06/05-110.jpg,https://asura.gg/wp-content/uploads/2022/06/06-106.jpg,https://asura.gg/wp-content/uploads/2022/06/07-100.jpg,https://asura.gg/wp-content/uploads/2022/06/08-91.jpg,https://asura.gg/wp-content/uploads/2022/01/ENDING-PAGE.jpg",A Comic Artist’s Survival Guide
A Comic Artist’s Survival Guide Chapter 2,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2022/06/00-75.jpg,https://asura.gg/wp-content/uploads/2022/06/01-40.jpg,https://asura.gg/wp-content/uploads/2022/06/02-40.jpg,https://asura.gg/wp-content/uploads/2022/06/03-40.jpg,https://asura.gg/wp-content/uploads/2022/06/04-40.jpg,https://asura.gg/wp-content/uploads/2022/06/05-40.jpg,https://asura.gg/wp-content/uploads/2022/06/06-40.jpg,https://asura.gg/wp-content/uploads/2022/06/07-40.jpg,https://asura.gg/wp-content/uploads/2022/06/08-37.jpg,https://asura.gg/wp-content/uploads/2022/06/09-31.jpg,https://asura.gg/wp-content/uploads/2022/06/10-29.jpg,https://asura.gg/wp-content/uploads/2022/01/ENDING-PAGE.jpg",A Comic Artist’s Survival Guide
Academy’s Undercover Professor Chapter 34 – Unwritten Law,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2022/11/00-Recovered-5.jpg,https://asura.gg/wp-content/uploads/2022/11/01-kopya-17.jpg,https://asura.gg/wp-content/uploads/2022/11/02-kopya-16.jpg,https://asura.gg/wp-content/uploads/2022/11/03-kopya-15.jpg,https://asura.gg/wp-content/uploads/2022/11/04-kopya-15.jpg,https://asura.gg/wp-content/uploads/2022/11/05-kopya-15.jpg,https://asura.gg/wp-content/uploads/2022/11/06-kopya-15.jpg,https://asura.gg/wp-content/uploads/2022/11/07-kopya-15.jpg,https://asura.gg/wp-content/uploads/2022/11/08-kopya-15.jpg,https://asura.gg/wp-content/uploads/2022/11/09-kopya-14.jpg,https://asura.gg/wp-content/uploads/2022/11/10-kopya-13.jpg,https://asura.gg/wp-content/uploads/2022/01/ENDING-PAGE.jpg",Academy’s Undercover Professor
A Comic Artist’s Survival Guide Chapter 1,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2022/06/00-31.jpg,https://asura.gg/wp-content/uploads/2022/06/01-18.jpg,https://asura.gg/wp-content/uploads/2022/06/02-18.jpg,https://asura.gg/wp-content/uploads/2022/06/03-18.jpg,https://asura.gg/wp-content/uploads/2022/06/04-18.jpg,https://asura.gg/wp-content/uploads/2022/06/05-18.jpg,https://asura.gg/wp-content/uploads/2022/06/06-18.jpg,https://asura.gg/wp-content/uploads/2022/06/07-18.jpg,https://asura.gg/wp-content/uploads/2022/06/08-16.jpg,https://asura.gg/wp-content/uploads/2022/06/09-15.jpg,https://asura.gg/wp-content/uploads/2022/06/10-11.jpg,https://asura.gg/wp-content/uploads/2022/06/11-8.jpg,https://asura.gg/wp-content/uploads/2022/01/ENDING-PAGE.jpg",A Comic Artist’s Survival Guide
Above the Heavens Chapter 10,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2021/12/00-95.jpg,https://asura.gg/wp-content/uploads/2021/12/01-108.jpg,https://asura.gg/wp-content/uploads/2021/12/02-106.jpg,https://asura.gg/wp-content/uploads/2021/12/03-107.jpg,https://asura.gg/wp-content/uploads/2021/12/04-106.jpg,https://asura.gg/wp-content/uploads/2021/12/05-103.jpg,https://asura.gg/wp-content/uploads/2021/12/06-92.jpg,https://asura.gg/wp-content/uploads/2021/12/07-65.jpg,https://asura.gg/wp-content/uploads/2020/10/ENDING-PAGE.jpg",Above the Heavens
Arcana Fantasy Chapter 29,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2021/02/00-72.jpg,https://asura.gg/wp-content/uploads/2021/02/001-8.jpg,https://asura.gg/wp-content/uploads/2021/02/002-7.jpg,https://asura.gg/wp-content/uploads/2021/02/003-8.jpg,https://asura.gg/wp-content/uploads/2020/10/ENDING-PAGE.jpg",Arcana Fantasy
Academy’s Undercover Professor Chapter 33 – Trap,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2022/11/New_credit-kopya.jpg,https://asura.gg/wp-content/uploads/2022/11/01-kopya-10.jpg,https://asura.gg/wp-content/uploads/2022/11/02-kopya-10.jpg,https://asura.gg/wp-content/uploads/2022/11/03-kopya-10.jpg,https://asura.gg/wp-content/uploads/2022/11/04-kopya-10.jpg,https://asura.gg/wp-content/uploads/2022/11/05-kopya-10.jpg,https://asura.gg/wp-content/uploads/2022/11/06-kopya-10.jpg,https://asura.gg/wp-content/uploads/2022/11/07-kopya-10.jpg,https://asura.gg/wp-content/uploads/2022/11/08-kopya-10.jpg,https://asura.gg/wp-content/uploads/2022/11/09-Kurtarildi-kopya.jpg,https://asura.gg/wp-content/uploads/2022/11/10-Kurtarildi-kopya.jpg,https://asura.gg/wp-content/uploads/2022/01/ENDING-PAGE.jpg",Academy’s Undercover Professor
Arcana Fantasy Chapter 12,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2020/12/AF12.jpg,https://asura.gg/wp-content/uploads/2020/12/AF121.jpg,https://asura.gg/wp-content/uploads/2020/12/AF122.jpg,https://asura.gg/wp-content/uploads/2020/12/AF123.jpg,https://asura.gg/wp-content/uploads/2020/12/AF124.jpg,https://asura.gg/wp-content/uploads/2020/12/AF125.jpg,https://asura.gg/wp-content/uploads/2020/12/AF126.jpg,https://asura.gg/wp-content/uploads/2020/12/AF127.jpg,https://asura.gg/wp-content/uploads/2020/10/ENDING-PAGE.jpg",Arcana Fantasy
Drug Devourer Chapter 12,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2022/11/00-254.jpg,https://asura.gg/wp-content/uploads/2022/11/01-329.jpg,https://asura.gg/wp-content/uploads/2022/11/02-328.jpg,https://asura.gg/wp-content/uploads/2022/11/03-327.jpg,https://asura.gg/wp-content/uploads/2022/11/04-324.jpg,https://asura.gg/wp-content/uploads/2022/11/05-321.jpg,https://asura.gg/wp-content/uploads/2022/11/06-320.jpg,https://asura.gg/wp-content/uploads/2022/11/07-319.jpg,https://asura.gg/wp-content/uploads/2022/11/08-309.jpg,https://asura.gg/wp-content/uploads/2022/11/09-291.jpg,https://asura.gg/wp-content/uploads/2022/11/10-255.jpg,https://asura.gg/wp-content/uploads/2022/11/11-182.jpg,https://asura.gg/wp-content/uploads/2022/11/12-130.jpg,https://asura.gg/wp-content/uploads/2022/11/13-89.jpg,https://asura.gg/wp-content/uploads/2022/11/14-55.jpg,https://asura.gg/wp-content/uploads/2022/11/15-30.jpg,https://asura.gg/wp-content/uploads/2022/11/16-16.jpg,https://asura.gg/wp-content/uploads/2022/01/ENDING-PAGE.jpg",Drug Devourer
Doctor’s Rebirth Chapter 76,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2022/04/00-100.jpg,https://asura.gg/wp-content/uploads/2022/04/01-99.jpg,https://asura.gg/wp-content/uploads/2022/04/02-95.jpg,https://asura.gg/wp-content/uploads/2022/04/03-95.jpg,https://asura.gg/wp-content/uploads/2022/04/04-92.jpg,https://asura.gg/wp-content/uploads/2022/04/05-78.jpg,https://asura.gg/wp-content/uploads/2022/04/06-76.jpg,https://asura.gg/wp-content/uploads/2022/04/07-59.jpg,https://asura.gg/wp-content/uploads/2022/04/08-45.jpg,https://asura.gg/wp-content/uploads/2022/04/09-32.jpg,https://asura.gg/wp-content/uploads/2022/01/ENDING-PAGE.jpg",Doctor’s Rebirth
Doctor’s Rebirth Chapter 55,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2021/10/00-112.jpg,https://asura.gg/wp-content/uploads/2021/10/01-gigapixel-standard-width-900px-001-4.jpg,https://asura.gg/wp-content/uploads/2021/10/01-gigapixel-standard-width-900px-002-4.jpg,https://asura.gg/wp-content/uploads/2021/10/02-gigapixel-standard-width-900px-001-4.jpg,https://asura.gg/wp-content/uploads/2021/10/02-gigapixel-standard-width-900px-002-4.jpg,https://asura.gg/wp-content/uploads/2021/10/03-gigapixel-standard-width-900px-001-4.jpg,https://asura.gg/wp-content/uploads/2021/10/03-gigapixel-standard-width-900px-002-4.jpg,https://asura.gg/wp-content/uploads/2021/10/04-gigapixel-standard-width-900px-001-4.jpg,https://asura.gg/wp-content/uploads/2021/10/04-gigapixel-standard-width-900px-002-4.jpg,https://asura.gg/wp-content/uploads/2021/10/05-gigapixel-standard-width-900px-001-3.jpg,https://asura.gg/wp-content/uploads/2021/10/05-gigapixel-standard-width-900px-002-3.jpg,https://asura.gg/wp-content/uploads/2021/10/06-gigapixel-standard-width-900px-001-3.jpg,https://asura.gg/wp-content/uploads/2021/10/06-gigapixel-standard-width-900px-002-3.jpg,https://asura.gg/wp-content/uploads/2020/10/ENDING-PAGE.jpg",Doctor’s Rebirth
Arcana Fantasy Chapter 13,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2021/01/00-21.jpg,https://asura.gg/wp-content/uploads/2021/01/001_001-1.jpg,https://asura.gg/wp-content/uploads/2021/01/001_002-1.jpg,https://asura.gg/wp-content/uploads/2021/01/001_003-1.jpg,https://asura.gg/wp-content/uploads/2021/01/001_004-1.jpg,https://asura.gg/wp-content/uploads/2021/01/001_005-1.jpg,https://asura.gg/wp-content/uploads/2021/01/001_006-1.jpg,https://asura.gg/wp-content/uploads/2021/01/001_007-1.jpg,https://asura.gg/wp-content/uploads/2021/01/001_008-1.jpg,https://asura.gg/wp-content/uploads/2021/01/001_009.jpg,https://asura.gg/wp-content/uploads/2021/01/001_010.jpg,https://asura.gg/wp-content/uploads/2021/01/002_001-1.jpg,https://asura.gg/wp-content/uploads/2021/01/002_002-1.jpg,https://asura.gg/wp-content/uploads/2021/01/002_003-1.jpg,https://asura.gg/wp-content/uploads/2021/01/002_004-1.jpg,https://asura.gg/wp-content/uploads/2021/01/002_005-1.jpg,https://asura.gg/wp-content/uploads/2021/01/002_006-1.jpg,https://asura.gg/wp-content/uploads/2021/01/002_007-1.jpg,https://asura.gg/wp-content/uploads/2021/01/002_008-1.jpg,https://asura.gg/wp-content/uploads/2021/01/002_009.jpg,https://asura.gg/wp-content/uploads/2021/01/002_010.jpg,https://asura.gg/wp-content/uploads/2021/01/003_001-1.jpg,https://asura.gg/wp-content/uploads/2021/01/003_002-1.jpg,https://asura.gg/wp-content/uploads/2021/01/003_003-1.jpg,https://asura.gg/wp-content/uploads/2021/01/003_004-1.jpg,https://asura.gg/wp-content/uploads/2021/01/003_005-1.jpg,https://asura.gg/wp-content/uploads/2021/01/003_006-1.jpg,https://asura.gg/wp-content/uploads/2021/01/003_007-1.jpg,https://asura.gg/wp-content/uploads/2021/01/003_008-1.jpg,https://asura.gg/wp-content/uploads/2021/01/003_009.jpg,https://asura.gg/wp-content/uploads/2021/01/003_010.jpg,https://asura.gg/wp-content/uploads/2020/10/ENDING-PAGE.jpg",Arcana Fantasy
Doctor’s Rebirth Chapter 1,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2021/01/00-48.jpg,https://asura.gg/wp-content/uploads/2021/01/1-8.jpg,https://asura.gg/wp-content/uploads/2021/01/2-5-1.jpg,https://asura.gg/wp-content/uploads/2021/01/3-6.jpg,https://asura.gg/wp-content/uploads/2021/01/4-6.jpg,https://asura.gg/wp-content/uploads/2020/10/ENDING-PAGE.jpg",Doctor’s Rebirth
Arcana Fantasy Chapter 11,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2020/12/AF11.jpg,https://asura.gg/wp-content/uploads/2020/12/AF111.jpg,https://asura.gg/wp-content/uploads/2020/12/AF112.jpg,https://asura.gg/wp-content/uploads/2020/12/AF113.jpg,https://asura.gg/wp-content/uploads/2020/12/AF114.jpg,https://asura.gg/wp-content/uploads/2020/12/AF115.jpg,https://asura.gg/wp-content/uploads/2020/12/AF116.jpg,https://asura.gg/wp-content/uploads/2020/12/AF117.jpg,https://asura.gg/wp-content/uploads/2020/12/AF118.jpg,https://asura.gg/wp-content/uploads/2020/10/ENDING-PAGE.jpg",Arcana Fantasy
Doctor’s Rebirth Chapter 3,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2021/01/00-97.jpg,https://asura.gg/wp-content/uploads/2021/01/1_001-4.jpg,https://asura.gg/wp-content/uploads/2021/01/1_002-4.jpg,https://asura.gg/wp-content/uploads/2021/01/1_003-4.jpg,https://asura.gg/wp-content/uploads/2021/01/1_004.jpg,https://asura.gg/wp-content/uploads/2021/01/1_005.jpg,https://asura.gg/wp-content/uploads/2021/01/1_006.jpg,https://asura.gg/wp-content/uploads/2021/01/2_001-4.jpg,https://asura.gg/wp-content/uploads/2021/01/2_002-4.jpg,https://asura.gg/wp-content/uploads/2021/01/2_003-4.jpg,https://asura.gg/wp-content/uploads/2021/01/2_004.jpg,https://asura.gg/wp-content/uploads/2021/01/2_005.jpg,https://asura.gg/wp-content/uploads/2021/01/2_006.jpg,https://asura.gg/wp-content/uploads/2020/10/ENDING-PAGE.jpg",Doctor’s Rebirth
Doctor’s Rebirth Chapter 2,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2021/01/00-95.jpg,https://asura.gg/wp-content/uploads/2021/01/1_001-3.jpg,https://asura.gg/wp-content/uploads/2021/01/1_002-3.jpg,https://asura.gg/wp-content/uploads/2021/01/1_003-3.jpg,https://asura.gg/wp-content/uploads/2021/01/2_001-3.jpg,https://asura.gg/wp-content/uploads/2021/01/2_002-3.jpg,https://asura.gg/wp-content/uploads/2021/01/2_003-3.jpg,https://asura.gg/wp-content/uploads/2020/10/ENDING-PAGE.jpg",Doctor’s Rebirth
Arcana Fantasy Chapter 10,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2020/12/AF10.jpg,https://asura.gg/wp-content/uploads/2020/12/AF101.jpg,https://asura.gg/wp-content/uploads/2020/12/AF102.jpg,https://asura.gg/wp-content/uploads/2020/12/AF103.jpg,https://asura.gg/wp-content/uploads/2020/12/AF104.jpg,https://asura.gg/wp-content/uploads/2020/12/AF105.jpg,https://asura.gg/wp-content/uploads/2020/12/AF106.jpg,https://asura.gg/wp-content/uploads/2020/10/ENDING-PAGE.jpg",Arcana Fantasy
Doctor’s Rebirth Chapter 101,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2022/11/00-261.jpg,https://asura.gg/wp-content/uploads/2022/11/01-337.jpg,https://asura.gg/wp-content/uploads/2022/11/02-337.jpg,https://asura.gg/wp-content/uploads/2022/11/03-336.jpg,https://asura.gg/wp-content/uploads/2022/11/04-333.jpg,https://asura.gg/wp-content/uploads/2022/11/05-331.jpg,https://asura.gg/wp-content/uploads/2022/11/06-328.jpg,https://asura.gg/wp-content/uploads/2022/11/07-326.jpg,https://asura.gg/wp-content/uploads/2022/11/08-316.jpg,https://asura.gg/wp-content/uploads/2022/11/09-298.jpg,https://asura.gg/wp-content/uploads/2022/11/10-259.jpg,https://asura.gg/wp-content/uploads/2022/11/11-185.jpg,https://asura.gg/wp-content/uploads/2022/11/12-131.jpg,https://asura.gg/wp-content/uploads/2022/11/13-90.jpg,https://asura.gg/wp-content/uploads/2022/11/14-56.jpg,https://asura.gg/wp-content/uploads/2022/01/ENDING-PAGE.jpg",Doctor’s Rebirth
Doctor’s Rebirth Chapter 4,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2021/01/00-109.jpg,https://asura.gg/wp-content/uploads/2021/01/1_001-8.jpg,https://asura.gg/wp-content/uploads/2021/01/1_002-8.jpg,https://asura.gg/wp-content/uploads/2021/01/1_003-7.jpg,https://asura.gg/wp-content/uploads/2021/01/1_004-1.jpg,https://asura.gg/wp-content/uploads/2021/01/1_005-1.jpg,https://asura.gg/wp-content/uploads/2021/01/2_001-8.jpg,https://asura.gg/wp-content/uploads/2021/01/2_002-8.jpg,https://asura.gg/wp-content/uploads/2021/01/2_003-7.jpg,https://asura.gg/wp-content/uploads/2021/01/2_004-1.jpg,https://asura.gg/wp-content/uploads/2021/01/2_005-1.jpg,https://asura.gg/wp-content/uploads/2021/01/ending-page-1.jpg,https://asura.gg/wp-content/uploads/2020/10/ENDING-PAGE.jpg",Doctor’s Rebirth
